N = 3
M = 4

set of gaps {1, 2, 5}

Ngen                sum     dim     Gen - 0        Jordan

[0, 4, 8]           0       0       []             [3]            
[3, 4, 8]           1       0       [4]            [1, 2]         
[6, 4, 8]           2       0       [6]            [1, 2]         
[3, 7, 8]           2       1       [8]            [1, 2]         
[6, 7, 8]           3       0       [7, 8]         [1, 1, 1]      
[9, 4, 8]           3       1       [9]            [1, 2]         
[3, 7, 11]          3       2       []             [3]            
[9, 7, 8]           4       0       [8, 9]         [1, 1, 1]      
[6, 10, 8]          4       1       [8]            [1, 2]         
[6, 7, 11]          4       2       [7]            [1, 2]         
[12, 4, 8]          4       2       []             [3]            
[9, 10, 8]          5       0       [9, 10]        [1, 1, 1]      
[9, 7, 11]          5       1       [9]            [1, 2]         
[6, 10, 11]         5       2       [11]           [1, 2]         
[12, 7, 8]          5       2       [8]            [1, 2]         
[9, 10, 11]         6       0       [10, 11]       [1, 1, 1]      
[12, 10, 8]         6       1       [10]           [1, 2]         
[9, 13, 8]          6       2       [9]            [1, 2]         
[12, 7, 11]         6       2       [12]           [1, 2]         
[6, 10, 14]         6       3       []             [3]            


N = 3
M = 5

set of gaps {1, 2, 4, 7}

Ngen                sum     dim     Gen - 0        Jordan

[0, 5, 10]          0       0       []             [3]            
[3, 5, 10]          1       0       [5]            [1, 2]         
[6, 5, 10]          2       0       [6]            [1, 2]         
[3, 8, 10]          2       1       [10]           [1, 2]         
[6, 8, 10]          3       0       [8, 10]        [1, 1, 1]      
[9, 5, 10]          3       1       [9]            [1, 2]         
[3, 8, 13]          3       2       []             [3]            
[9, 8, 10]          4       0       [9, 10]        [1, 1, 1]      
[6, 11, 10]         4       1       [10]           [1, 2]         
[6, 8, 13]          4       2       [8]            [1, 2]         
[12, 5, 10]         4       2       [12]           [1, 2]         
[9, 11, 10]         5       0       [10, 11]       [1, 1, 1]      
[12, 8, 10]         5       1       [10, 12]       [1, 1, 1]      
[6, 11, 13]         5       2       [13]           [1, 2]         
[9, 8, 13]          5       2       [9]            [1, 2]         
[15, 5, 10]         5       3       []             [3]            
[12, 11, 10]        6       0       [11, 12]       [1, 1, 1]      
[9, 11, 13]         6       1       [11, 13]       [1, 1, 1]      
[9, 14, 10]         6       2       [10]           [1, 2]         
[12, 8, 13]         6       2       [12]           [1, 2]         
[6, 11, 16]         6       3       []             [3]            
[15, 8, 10]         6       3       [10]           [1, 2]         
[12, 11, 13]        7       0       [12, 13]       [1, 1, 1]      
[12, 14, 10]        7       1       [12, 14]       [1, 1, 1]      
[9, 14, 13]         7       2       [13]           [1, 2]         
[15, 11, 10]        7       2       [11]           [1, 2]         
[9, 11, 16]         7       3       [11]           [1, 2]         
[15, 8, 13]         7       3       [15]           [1, 2]         
[12, 14, 13]        8       0       [13, 14]       [1, 1, 1]      
[15, 11, 13]        8       1       [13, 15]       [1, 1, 1]      
[12, 11, 16]        8       2       [12]           [1, 2]         
[15, 14, 10]        8       2       [14]           [1, 2]         
[9, 14, 16]         8       3       [15]           [1, 2]         
[12, 17, 10]        8       3       [12]           [1, 2]         
[18, 8, 13]         8       4       []             [3]            


N = 4
M = 5

set of gaps {1, 2, 3, 6, 7, 11}

Ngen                sum     dim     Gen - 0        Jordan

[0, 5, 10, 15]      0       0       []             [4]            
[4, 5, 10, 15]      1       0       [5]            [1, 3]         
[8, 5, 10, 15]      2       0       [8]            [1, 3]         
[4, 9, 10, 15]      2       1       [10]           [2, 2]         
[8, 9, 10, 15]      3       0       [9, 10]        [1, 1, 2]      
[12, 5, 10, 15]     3       1       [12]           [1, 3]         
[4, 9, 14, 15]      3       2       [15]           [1, 3]         
[12, 9, 10, 15]     4       0       [10, 12]       [1, 1, 2]      
[8, 13, 10, 15]     4       1       [10]           [2, 2]         
[8, 9, 14, 15]      4       2       [9, 15]        [1, 1, 2]      
[16, 5, 10, 15]     4       2       [16]           [1, 3]         
[4, 9, 14, 19]      4       3       []             [4]            
[12, 13, 10, 15]    5       0       [12, 13]       [1, 1, 2]      
[12, 9, 14, 15]     5       1       [12, 15]       [1, 1, 2]      
