Coefficients of X_phi on Y_psi for B5

        |(11) 911(11) 911 731(11,11) 731(2,11) 731 551(11) 551 722 71111(11) 71111 533(11) 533 53111(11,11) 53111(11,2) 53111 443 44111 52211(11) 52211 33311(11) 33311 33221(11)     33221 5111111(11)    5111111 3311111(11)    3311111      32222 3221111(11)     3221111         2222111   311111111(11)            311111111             221111111                            11111111111
_______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
X5.     |   1       0   1          0         0   1       0   1   1         0     1       0   1            0           0     1   1     1         0     1         0     1         0         1           0          1           0          1          1           0           1               1               0                    1                     1                                      1
X41.    |   0       1   0          0         0   0       0   0   x         x     x       0   x            0           0     x   x     x       x^2     x       x^2     x         0         x         x^2      x^3+x           0      x^3+x      x^3+x         x^3       x^3+x           x^3+x             x^3            x^5+x^3+x             x^5+x^3+x                          x^7+x^5+x^3+x
X4.1    |   0       0   1          0         0   1       0   1   1         0 x^2+1       0   1            0           0 x^2+1   1 x^2+1         0 x^2+1         0 x^2+1         0     x^2+1           0  x^4+x^2+1           0  x^4+x^2+1      x^2+1           0   x^4+x^2+1       x^4+x^2+1               0        x^6+x^4+x^2+1         x^6+x^4+x^2+1                      x^8+x^6+x^4+x^2+1
X.5     |   0       0   0          1         0   0       1   0   0         0     0       0   0            0           x     0   0     x         0     0         0     0       x^2         0           0          0         x^2          0          0           0           0             x^3               0                    0                   x^3                                    x^3
X32.    |   0       0   0          0         1   0       0   0   1         1     0       x   0            x           0     0   0     0         x   x^2         0   x^2         0       x^2       x^3+x        x^2           0        x^2    x^4+x^2         x^4     x^4+x^2         x^4+x^2         x^6+x^4          x^6+x^4+x^2           x^6+x^4+x^2                   x^10+x^8+x^6+x^4+x^2
X3.2    |   0       0   0          0         0   1       0   1   1         0     1       0   1            0           0 x^2+1   1 x^2+1         0 x^2+1         0 x^2+1         0 x^4+x^2+1           0  x^4+x^2+1           0 2x^4+x^2+1  x^4+x^2+1           0  2x^4+x^2+1  x^6+2x^4+x^2+1               0   x^8+x^6+2x^4+x^2+1   x^8+2x^6+2x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X1.4    |   0       0   0          0         0   0       1   0   0         0     0       0   0            0           x     0   x    2x         0     0         0     x       x^2         x           0          0     x^4+x^2          x          x           0           x       x^5+x^3+x               0                    x         x^7+x^5+x^3+x                      x^9+x^7+x^5+x^3+x
X2.3    |   0       0   0          0         0   0       0   1   0         0     0       0   1            0           0     1   1 x^2+1         0     1         0 x^2+1       x^3     x^2+1           0          1         x^3  x^4+x^2+1      x^2+1           0   x^4+x^2+1  x^6+2x^4+x^2+1               0        x^6+x^4+x^2+1   x^8+2x^6+2x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X31.1   |   0       0   0          0         0   0       0   0   1         1     1       0   1            0           0     1   1     1         x x^2+1         x x^2+1         0     x^2+1       x^3+x x^4+2x^2+1           0 x^4+2x^2+1 x^4+2x^2+1     x^4+x^2 2x^4+2x^2+1     2x^4+2x^2+1     x^6+x^4+x^2 x^8+2x^6+3x^4+2x^2+1  x^8+2x^6+3x^4+2x^2+1       x^12+2x^10+3x^8+3x^6+3x^4+2x^2+1
