Coefficients of X_phi on Y_psi for C6

         |(12) (10,2)(11) (10,2) 84(11) 84 (10,1,1) 66(11) 66 822(11) 822 8211(11)  8211 642(11,11) 642(2,11) 642 6411(11)  6411 552 633 6222(11)  6222  5511 81111 444 4422(11,11) 4422(11,2) 4422(2,11)  4422 62211(11)  62211 4332(11)  4332 44211(11)  44211 621111(11)     621111  43311 441111(11)     441111       3333 42222(11)      42222 422211(11)      422211       33222 332211(11)      332211         6111111 4221111(11)         4221111         3321111  222222(11)           222222      42111111(11)             42111111              2222211              33111111      22221111(11)              22221111                  411111111                   222111111                 2211111111(11)                             2211111111                                  21111111111                                                       111111111111
______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
X6.      |   1          0      1      0  1        1      0  1       0   1        0     1          0         0   1        0     1   1   1        0     1     1     1   1           0          0          0     1         0      1        0     1         0      1          0          1      1          0          1          1         0          1          0           1           1          0           1               1           0               1               1           0                1                 0                    1                    1                     1                 0                     1                          1                           1                              0                                      1                                            1                                                                  1
X.6      |   0          1      0      1  0        0      1  0       0   0        x     0          0         0   0        x     0   0   0        x     0     x     0   0           x          0          0     0         0      0        x     0         0      0        x^2          0      0        x^2          0          x         0          0        x^2           0           0        x^2           0               0           0               0               0         x^2                0               x^3                    0                    0                   x^3               x^3                     0                          0                           0                            x^4                                      0                                            0                                                                x^5
X5.1     |   0          0      1      0  1        1      0  1       0   1        0 x^2+1          0         0   1        0 x^2+1   1   1        0 x^2+1 x^2+1 x^2+1   1           0          0          0 x^2+1         0  x^2+1        0 x^2+1         0  x^2+1          0  x^4+x^2+1  x^2+1          0  x^4+x^2+1      x^2+1         0      x^2+1          0   x^4+x^2+1       x^2+1          0   x^4+x^2+1       x^4+x^2+1           0       x^4+x^2+1       x^4+x^2+1           0        x^4+x^2+1                 0        x^6+x^4+x^2+1            x^4+x^2+1         x^6+x^4+x^2+1                 0         x^6+x^4+x^2+1              x^6+x^4+x^2+1               x^6+x^4+x^2+1                              0                      x^8+x^6+x^4+x^2+1                            x^8+x^6+x^4+x^2+1                                             x^10+x^8+x^6+x^4+x^2+1
X1.5     |   0          0      0      1  0        0      1  0       0   0        x     0          0         x   0       2x     0   x   0        x     0    2x     0   0           x          0        x^2     0         0      0        x     0       x^2      0    x^4+x^2          0      0   x^4+2x^2          0      x^3+x         0          0    x^4+x^2           0         x^3    x^4+x^2         x^3               0           0               0             x^3     x^4+x^2              x^3       x^7+x^5+x^3                    0                  x^3          x^7+x^5+2x^3       x^7+x^5+x^3                   x^3                          0                         x^3               x^10+x^8+x^6+x^4                                    x^3                                          x^3                                          x^13+x^11+x^9+x^7+x^5+x^3
X4.2     |   0          0      0      0  1        0      0  1       0   1        0     1          0         0   1        0 x^2+1   1   1        0 x^2+1 x^2+1     1   1           0        x^3          0 x^2+1         0  x^2+1        0 x^2+1         0  x^2+1          0  x^4+x^2+1  x^2+1          0 2x^4+x^2+1  x^4+x^2+1         0  x^4+x^2+1          0  2x^4+x^2+1   x^4+x^2+1        x^5  2x^4+x^2+1       x^4+x^2+1           0      2x^4+x^2+1      2x^4+x^2+1         x^5   x^6+2x^4+x^2+1                 0   x^8+x^6+2x^4+x^2+1       x^6+2x^4+x^2+1   x^8+2x^6+2x^4+x^2+1               x^6   x^8+2x^6+2x^4+x^2+1         x^8+x^6+2x^4+x^2+1         x^8+2x^6+2x^4+x^2+1                            x^7         x^12+x^10+2x^8+2x^6+2x^4+x^2+1               x^12+x^10+2x^8+2x^6+2x^4+x^2+1                         x^16+x^14+2x^12+2x^10+3x^8+2x^6+2x^4+x^2+1
X51.     |   0          0      0      0  0        1      0  0       0   1        0     1          0         0   1        0     1   1   1        0     1     1 x^2+1   1           0          0          0     1         0  x^2+1        0     1         0  x^2+1          0      x^2+1  x^2+1          0      x^2+1          1         0      x^2+1          0       x^2+1       x^2+1          0       x^2+1       x^4+x^2+1           0       x^4+x^2+1       x^4+x^2+1           0            x^2+1                 0            x^4+x^2+1            x^4+x^2+1             x^4+x^2+1                 0             x^4+x^2+1              x^6+x^4+x^2+1               x^6+x^4+x^2+1                              0                          x^6+x^4+x^2+1                            x^8+x^6+x^4+x^2+1                                                  x^8+x^6+x^4+x^2+1
X2.4     |   0          0      0      0  0        0      1  0       0   0        0     0          0         0   0        x     0   x   0        x     0    2x     0   x           x          0        x^2     x         0      0        x     x       x^2      x        x^2          0      x   x^4+2x^2          x     x^3+2x         0          x    x^4+x^2           x       x^3+x    x^4+x^2   x^5+x^3+x               0           0               x       x^5+x^3+x x^6+x^4+x^2        x^5+x^3+x       x^7+x^5+x^3                    x            x^5+x^3+x      2x^7+2x^5+2x^3+x      2x^7+x^5+x^3         x^7+x^5+x^3+x                          x               x^7+x^5+x^3+x         x^12+x^10+2x^8+x^6+x^4                      x^9+x^7+x^5+x^3+x                            x^9+x^7+x^5+x^3+x                         x^17+x^15+2x^13+2x^11+3x^9+2x^7+2x^5+x^3+x
X3.3     |   0          0      0      0  0        0      0  1       0   0        0     0          0         0   1        0     1   1   1        0     1 x^2+1     0   1         x^2          0          0 x^2+1         0      1      x^2 x^2+1         0  x^2+1          0          1  x^2+1        x^3  x^4+x^2+1 x^4+2x^2+1         0      x^2+1        x^3   x^4+x^2+1   x^4+x^2+1    x^5+x^3  2x^4+x^2+1               1           0       x^4+x^2+1      2x^4+x^2+1     x^5+x^3   x^6+2x^4+x^2+1               x^4        x^6+x^4+x^2+1       x^6+2x^4+x^2+1   x^8+2x^6+3x^4+x^2+1       x^8+x^6+x^4   x^8+2x^6+2x^4+x^2+1              x^6+x^4+x^2+1         x^8+2x^6+2x^4+x^2+1               x^11+x^9+x^7+x^5         x^12+x^10+2x^8+2x^6+2x^4+x^2+1               x^12+x^10+2x^8+2x^6+2x^4+x^2+1                   x^18+x^16+2x^14+3x^12+3x^10+3x^8+3x^6+2x^4+x^2+1
X42.     |   0          0      0      0  0        0      0  0       1   0        0     0          0         0   0        0     0   0   x        0     x     0     x   x           0          0          0     x       x^2      x        0     x         0      x          0          x  x^3+x          0          x          x       x^3      x^3+x          0       x^3+x       x^3+x          0       x^3+x       x^5+x^3+x         x^4       x^5+x^3+x       x^5+x^3+x           0        x^5+x^3+x                 0            x^5+x^3+x           2x^5+x^3+x             x^5+x^3+x                 0            2x^5+x^3+x         x^9+x^7+2x^5+x^3+x          x^9+x^7+2x^5+x^3+x                              0                     x^9+x^7+2x^5+x^3+x                x^13+x^11+2x^9+x^7+2x^5+x^3+x                                      x^13+x^11+2x^9+x^7+2x^5+x^3+x
