Coefficients of X_phi on Y_psi for E7

             |E7 E7(a1) E7(a2) E6 E7(a3)(11) E7(a3) E6(a1)(11) E6(a1) D6 E7(a4)(11) E7(a4) A6 D5+A1 D6(a1) E7(a5)(111) E7(a5)(21) E7(a5)     D5 D6(a2) E6(a3)(11) E6(a3)    A5' D5(a1)+A1 A5+A1  A4+A2 D5(a1)(11)     D5(a1) A4+A1(11)      A4+A1          A5''      D4+A1    A3+A2+A1       A4(11)             A4 A3+A2(11)           A3+A2               D4 D4(a1)+A1(11)        D4(a1)+A1 D4(a1)(111)    D4(a1)(21)           D4(a1)           A3+2A1             (A3+A1)'               2A2+A1                  (A3+A1)''                         2A2                          A3                     A2+3A1                      A2+2A1                A2+A1(11)                                A2+A1                                    4A1                               A2(11)                                               A2                                             3A1'                                                          3A1''                                                                  2A1                                                                                         A1                                                                                                                                    1
_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
Xphi{1,0}    | 1      1      1  1          0      1          0      1  1          0      1  1     1      1           0          0      1      1      1          0      1      1         1     1      1          0          1         0          1             1          1           1            0              1         0               1                1             0                1           0             0                1                1                    1                    1                          1                           1                           1                          1                           1                        0                                    1                                      1                                    0                                                1                                                1                                                              1                                                                    1                                                                                          1                                                                                                                                    1
Xphi{7,1}    | 0      1      1  1          x      1          x      1  1          0      1  1     1  x^2+1           0        x^2      1  x^2+1  x^2+1        x^2  x^2+1  x^2+1     x^2+1     1      1        x^3      x^2+1       x^3          1         x^4+1      x^2+1           1          x^3          x^4+1         0           x^4+1        x^4+x^2+1           x^4            x^4+1           0           x^4            x^4+1            x^4+1               2x^4+1                x^4+1                  x^6+x^4+1                   x^6+x^4+1                  x^6+2x^4+1                      x^4+1                   x^6+x^4+1                      x^7                            x^6+x^4+1                              x^6+x^4+1                                  x^7                                    x^8+x^6+x^4+1                                    x^8+x^6+x^4+1                                                 x^10+x^6+x^4+1                                                   x^10+x^8+x^6+x^4+1                                                                    x^12+x^10+x^8+x^6+x^4+1                                                                                                         x^16+x^12+x^10+x^8+x^6+x^4+1
Xphi{27,2}   | 0      0      1  1          0      1          x      1  1          0      1  1 x^2+1  x^2+1           0        x^2  x^2+1 2x^2+1 2x^2+1        x^2 2x^2+1 2x^2+1    2x^2+1 x^2+1  x^2+1        x^3 x^4+2x^2+1       x^3  x^4+x^2+1     x^4+x^2+1 x^4+2x^2+1   x^4+x^2+1      x^5+x^3     2x^4+x^2+1         0      2x^4+x^2+1  x^6+2x^4+2x^2+1           x^4   x^6+2x^4+x^2+1           0       x^6+x^4   x^6+2x^4+x^2+1   x^6+2x^4+x^2+1      2x^6+3x^4+x^2+1       x^6+2x^4+x^2+1        x^8+2x^6+2x^4+x^2+1         x^8+2x^6+2x^4+x^2+1        2x^8+3x^6+3x^4+x^2+1         x^8+x^6+2x^4+x^2+1        2x^8+2x^6+2x^4+x^2+1                  x^9+x^7            x^10+2x^8+2x^6+2x^4+x^2+1              x^10+2x^8+2x^6+2x^4+x^2+1                         x^11+x^9+x^7                  x^12+2x^10+3x^8+2x^6+2x^4+x^2+1                  x^12+2x^10+3x^8+2x^6+2x^4+x^2+1                           x^14+x^12+2x^10+2x^8+2x^6+2x^4+x^2+1                               2x^14+2x^12+3x^10+3x^8+2x^6+2x^4+x^2+1                                          x^18+2x^16+3x^14+3x^12+3x^10+3x^8+2x^6+2x^4+x^2+1                                                                   x^24+x^22+2x^20+2x^18+3x^16+3x^14+3x^12+3x^10+3x^8+2x^6+2x^4+x^2+1
Xphi{21,3}   | 0      0      0  1          0      0          0      1  0          0      1  1     1      1           0          0      1  x^2+1      1          0  x^2+1  x^2+1     x^2+1     1  x^2+1        x^3      x^2+1       x^3      x^2+1             1      x^2+1       x^2+1          x^3      x^4+x^2+1         0       x^4+x^2+1    x^6+x^4+x^2+1           x^4        x^4+x^2+1           0           x^4    x^6+x^4+x^2+1        x^4+x^2+1       x^6+2x^4+x^2+1        x^6+x^4+x^2+1              x^6+x^4+x^2+1              2x^6+x^4+x^2+1         x^8+2x^6+2x^4+x^2+1              x^6+x^4+x^2+1          x^8+2x^6+x^4+x^2+1                  x^9+x^7                   x^8+2x^6+x^4+x^2+1                     x^8+2x^6+x^4+x^2+1                              x^9+x^7                    x^12+x^10+2x^8+2x^6+x^4+x^2+1                    x^12+x^10+2x^8+2x^6+x^4+x^2+1                                   x^12+x^10+x^8+2x^6+x^4+x^2+1                                 x^14+2x^12+2x^10+2x^8+2x^6+x^4+x^2+1                                            x^18+x^16+2x^14+3x^12+2x^10+2x^8+2x^6+x^4+x^2+1                                                                     x^24+x^22+x^20+2x^18+2x^16+2x^14+3x^12+2x^10+2x^8+2x^6+x^4+x^2+1
Xphi{21,6}   | 0      0      0  0          1      0          1      0  0          0      0  0     0      x         x^3          x      0      x      x      x^3+x      x      x         x     0      0    x^4+x^2          x       x^2          0           x^3          x           0      x^6+x^2            x^3         0             x^3        x^5+x^3+x       x^7+x^3              x^3         x^7       x^7+x^3              x^3              x^3             x^7+2x^3                  x^3                x^9+x^5+x^3                 x^9+x^5+x^3           2x^9+x^7+x^5+2x^3                        x^3                 x^9+x^5+x^3            x^12+x^10+x^6                          x^9+x^5+x^3                            x^9+x^5+x^3                   x^14+x^12+x^10+x^6                        x^13+x^11+x^9+x^7+x^5+x^3                        x^13+x^11+x^9+x^7+x^5+x^3                                         x^15+x^13+2x^9+x^5+x^3                                x^17+x^15+2x^13+x^11+2x^9+x^7+x^5+x^3                                         x^21+x^19+2x^17+2x^15+2x^13+2x^11+2x^9+x^7+x^5+x^3                                                                  x^27+x^25+x^23+2x^21+2x^19+2x^17+3x^15+2x^13+2x^11+2x^9+x^7+x^5+x^3
Xphi{56,3}   | 0      0      0  0          0      1          0      1  1          0      1  1     1  x^2+1           0        x^2  x^2+1  x^2+1 2x^2+1        x^2 2x^2+1 2x^2+1    2x^2+1 x^2+1  x^2+1        x^3 x^4+2x^2+1       x^3  x^4+x^2+1 x^6+x^4+x^2+1 x^4+2x^2+1   x^4+x^2+1      x^5+x^3 x^6+2x^4+x^2+1         0  x^6+2x^4+x^2+1  x^6+2x^4+2x^2+1       x^6+x^4  2x^6+2x^4+x^2+1           0      2x^6+x^4  2x^6+2x^4+x^2+1  2x^6+2x^4+x^2+1      4x^6+3x^4+x^2+1      2x^6+2x^4+x^2+1  x^10+2x^8+3x^6+2x^4+x^2+1   x^10+2x^8+3x^6+2x^4+x^2+1   x^10+3x^8+5x^6+3x^4+x^2+1        x^8+2x^6+2x^4+x^2+1   x^10+3x^8+3x^6+2x^4+x^2+1            x^11+2x^9+x^7      x^12+2x^10+3x^8+3x^6+2x^4+x^2+1        x^12+2x^10+3x^8+3x^6+2x^4+x^2+1                  x^13+2x^11+2x^9+x^7            x^14+3x^12+4x^10+4x^8+3x^6+2x^4+x^2+1            x^14+3x^12+4x^10+4x^8+3x^6+2x^4+x^2+1               x^18+x^16+2x^14+3x^12+3x^10+3x^8+3x^6+2x^4+x^2+1                    x^18+2x^16+4x^14+5x^12+5x^10+4x^8+3x^6+2x^4+x^2+1                              x^22+2x^20+4x^18+5x^16+6x^14+6x^12+5x^10+4x^8+3x^6+2x^4+x^2+1                                                 x^30+x^28+2x^26+3x^24+4x^22+5x^20+6x^18+6x^16+6x^14+6x^12+5x^10+4x^8+3x^6+2x^4+x^2+1
Xphi{105,5}  | 0      0      0  0          0      0          1      0  0          0      0  0     x      x           0          x      x     2x     2x      x^3+x     2x     2x    x^3+2x     x      x    x^4+x^2    2x^3+2x   x^4+x^2      x^3+x         x^3+x    2x^3+2x       x^3+x x^6+2x^4+x^2     x^5+2x^3+x         0      x^5+2x^3+x x^7+2x^5+3x^3+2x   x^7+x^5+x^3  x^7+2x^5+2x^3+x         x^7 2x^7+2x^5+x^3  x^7+2x^5+2x^3+x  x^7+2x^5+2x^3+x     3x^7+4x^5+3x^3+x      x^7+2x^5+2x^3+x      2x^9+3x^7+3x^5+2x^3+x       2x^9+3x^7+3x^5+2x^3+x  x^11+4x^9+6x^7+5x^5+3x^3+x       x^9+2x^7+2x^5+2x^3+x  x^11+3x^9+4x^7+3x^5+2x^3+x     2x^12+2x^10+2x^8+x^6     x^13+2x^11+4x^9+4x^7+3x^5+2x^3+x       x^13+2x^11+4x^9+4x^7+3x^5+2x^3+x      x^16+2x^14+3x^12+3x^10+2x^8+x^6          2x^15+4x^13+5x^11+6x^9+5x^7+3x^5+2x^3+x          2x^15+4x^13+5x^11+6x^9+5x^7+3x^5+2x^3+x              x^19+x^17+3x^15+4x^13+4x^11+5x^9+4x^7+3x^5+2x^3+x                  2x^19+4x^17+6x^15+8x^13+7x^11+7x^9+5x^7+3x^5+2x^3+x                     x^25+2x^23+5x^21+7x^19+9x^17+10x^15+10x^13+8x^11+7x^9+5x^7+3x^5+2x^3+x                                    x^33+2x^31+3x^29+5x^27+7x^25+8x^23+10x^21+11x^19+11x^17+11x^15+10x^13+8x^11+7x^9+5x^7+3x^5+2x^3+x
Xphi{120,4}  | 0      0      0  0          0      0          0      1  0          0      1  1     1      1           0        x^2      1  x^2+1  x^2+1        x^2 2x^2+1 2x^2+1    2x^2+1     1  x^2+1       2x^3 x^4+2x^2+1      2x^3  x^4+x^2+1         x^4+1 x^4+2x^2+1   x^4+x^2+1     x^5+2x^3 x^6+3x^4+x^2+1         0  x^6+3x^4+x^2+1 2x^6+3x^4+2x^2+1      x^6+2x^4  2x^6+3x^4+x^2+1           0 x^8+2x^6+2x^4  3x^6+3x^4+x^2+1  2x^6+3x^4+x^2+1  x^8+5x^6+5x^4+x^2+1      3x^6+3x^4+x^2+1  x^10+2x^8+4x^6+3x^4+x^2+1  2x^10+2x^8+5x^6+3x^4+x^2+1  3x^10+5x^8+7x^6+5x^4+x^2+1   x^10+x^8+3x^6+3x^4+x^2+1  3x^10+4x^8+5x^6+3x^4+x^2+1     x^13+2x^11+3x^9+2x^7     2x^12+4x^10+4x^8+5x^6+3x^4+x^2+1       2x^12+4x^10+4x^8+5x^6+3x^4+x^2+1           x^15+3x^13+3x^11+3x^9+2x^7      x^16+3x^14+6x^12+7x^10+6x^8+5x^6+3x^4+x^2+1      x^16+3x^14+6x^12+7x^10+6x^8+5x^6+3x^4+x^2+1              x^18+3x^16+3x^14+5x^12+6x^10+4x^8+5x^6+3x^4+x^2+1              x^20+3x^18+6x^16+8x^14+9x^12+9x^10+6x^8+5x^6+3x^4+x^2+1                   2x^24+4x^22+6x^20+10x^18+11x^16+11x^14+11x^12+9x^10+6x^8+5x^6+3x^4+x^2+1                               x^34+x^32+3x^30+5x^28+6x^26+9x^24+11x^22+11x^20+13x^18+13x^16+11x^14+11x^12+9x^10+6x^8+5x^6+3x^4+x^2+1
Xphi{35,4}   | 0      0      0  0          0      0          0      0  1          0      1  1     1      1           0          0      1      1  x^2+1          0      1  x^2+1     x^2+1 x^2+1  x^2+1          0      x^2+1       x^3      x^2+1     x^4+x^2+1  x^4+x^2+1   x^4+x^2+1          x^3      x^4+x^2+1         0      2x^4+x^2+1        x^4+x^2+1           x^4       2x^4+x^2+1           0           x^4       2x^4+x^2+1   x^6+2x^4+x^2+1       x^6+3x^4+x^2+1       x^6+2x^4+x^2+1        x^8+2x^6+2x^4+x^2+1         x^8+2x^6+2x^4+x^2+1         x^8+2x^6+3x^4+x^2+1         x^8+x^6+2x^4+x^2+1        2x^8+2x^6+2x^4+x^2+1                  x^9+x^7            x^10+2x^8+2x^6+2x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1                         x^11+x^9+x^7                  x^12+2x^10+3x^8+2x^6+2x^4+x^2+1                 2x^12+2x^10+3x^8+2x^6+2x^4+x^2+1                     x^16+x^14+2x^12+2x^10+2x^8+2x^6+2x^4+x^2+1                          x^16+2x^14+3x^12+3x^10+3x^8+2x^6+2x^4+x^2+1                                    x^20+2x^18+3x^16+3x^14+4x^12+3x^10+3x^8+2x^6+2x^4+x^2+1                                                       x^28+x^26+2x^24+2x^22+3x^20+3x^18+4x^16+3x^14+4x^12+3x^10+3x^8+2x^6+2x^4+x^2+1
Xphi{15,7}   | 0      0      0  0          0      0          0      0  0          1      0  1     0      0           0          0      0      0      0          0      0    x^2         0     0    x^2          0          0         0        x^2             0          0         x^2            0            x^2       x^5             x^2                0             0              x^2           0             0              x^2              x^2              x^6+x^2              x^6+x^2                        x^2                 x^8+x^6+x^2                     x^6+x^2                    x^6+x^2                 x^8+x^6+x^2                      x^9                          x^8+x^6+x^2                            x^8+x^6+x^2                                  x^9                                 x^10+x^8+x^6+x^2                            x^14+x^10+x^8+x^6+x^2                                               x^12+x^8+x^6+x^2                                      x^16+x^14+x^12+x^10+x^8+x^6+x^2                                                 x^20+x^18+x^16+2x^14+x^12+x^10+x^8+x^6+x^2                                                                      x^30+x^26+x^24+x^22+x^20+2x^18+x^16+2x^14+x^12+x^10+x^8+x^6+x^2
